Node,Longitude,Latitude
552,104.1510429,30.63182274
553,104.0189873,30.61381968
554,104.1003982,30.60263224
555,103.9601174,30.7022019
556,104.0456126,30.71340305
557,104.075652,30.7050887
558,103.9869391,30.6735601
559,104.0346298,30.63539204
560,104.0983272,30.63112623
561,104.1567215,30.62997401
562,104.0645381,30.62255535
563,104.0994826,30.60753214
564,103.9980882,30.70975652
565,104.0036392,30.71829539
566,104.0729586,30.70871824
567,103.9805188,30.65092525
568,104.0195149,30.64076755
569,104.123888,30.65480711
570,104.1827765,30.65238351
571,104.064828,30.61435293
572,104.0836116,30.6089152
573,103.9536277,30.68984807
574,104.0145129,30.73018611
575,104.0896026,30.70302465
576,103.9891873,30.67490119
577,104.0276015,30.64903247
578,104.0726028,30.65083318
579,104.1496059,30.64216205
580,104.0454455,30.61929188
581,104.128296,30.61145132
582,103.9627994,30.69202232
583,104.020265,30.6931301
584,104.078009,30.69128293
585,103.9975617,30.66511082
586,104.0599492,30.6251091
587,104.0864107,30.65596472
588,104.1665373,30.62856108
589,104.061686,30.57805291
590,104.1265738,30.60504824
591,103.9957364,30.70717338
592,104.0316331,30.71780965
593,104.0869352,30.69443168
594,103.9830108,30.66415007
595,104.0322445,30.65667491
596,104.103721,30.64768079
597,104.174737,30.66454521
598,104.0550603,30.61846945
599,104.0696681,30.60219068
600,103.9713678,30.69065935
601,104.0423189,30.70385974
602,104.0915573,30.70768178
603,103.9956027,30.66942661
604,104.0209969,30.63933628
605,104.1185063,30.64065262
606,104.1602845,30.66523385
607,104.0438418,30.62002411
608,104.1246492,30.60216894
609,103.97941,30.70791991
610,104.0148082,30.69564351
611,104.1034118,30.68722884
612,103.9735737,30.67465759
613,104.0418566,30.65698347
614,104.092995,30.67384099
615,104.1398098,30.63635551
616,104.0306186,30.58109204
617,104.0748969,30.6108969
618,103.9789201,30.70587597
619,104.0428231,30.68723173
620,104.073194,30.68752145
621,103.9328245,30.67415763
622,104.0579293,30.62518238
623,104.1119203,30.67005801
624,104.1407514,30.65747915
625,104.0658772,30.57810036
626,104.1169274,30.62064379
627,103.9806755,30.72036376
628,104.0279096,30.7154902
629,104.0928606,30.71717785
630,103.995507,30.6497011
631,104.0325574,30.64073354
632,104.0719208,30.67587069
633,104.1748633,30.65937538
634,104.0477918,30.58475741
635,104.113379,30.58869562
636,103.9964967,30.68224322
637,104.0055209,30.68097239
638,104.0931812,30.70381237
639,103.9863516,30.64206014
640,104.0562259,30.6535869
641,104.1133584,30.64805452
642,104.204397,30.6509292
643,104.0318082,30.61918283
644,104.0770091,30.6189983
645,103.9826104,30.72083812
646,104.010975,30.68116406
647,104.0810477,30.68827702
648,103.9807086,30.64868896
649,104.0351255,30.64268059
650,104.0851728,30.65815153
651,104.1531756,30.65116278
652,104.0485173,30.60075701
653,104.0684365,30.59321293
654,103.9802912,30.71025208
655,104.0304049,30.6923283
656,104.1111145,30.6886652
657,103.9880426,30.62480647
658,104.0640141,30.67295026
659,104.0728306,30.66386644
660,104.1400381,30.62512518
661,104.0403974,30.60929237
662,104.0925346,30.60710553
663,103.9780511,30.71972036
664,104.0672515,30.69482107
665,104.070802,30.69064995
666,103.9884216,30.67348142
667,104.000968,30.65963267
668,104.0872745,30.65548692
669,104.1496203,30.63655116
670,104.0578935,30.61635561
671,104.1346143,30.60842985
672,103.9922205,30.71446713
673,104.0182871,30.70949657
674,104.1138323,30.68001049
675,103.998059,30.64659511
676,104.0580009,30.67074252
677,104.0899921,30.63529384
678,104.1482109,30.62933224
679,104.0519133,30.59656657
680,104.0926227,30.60533263
681,103.9561414,30.69217475
682,104.0435485,30.70448881
683,104.1017061,30.68526712
684,103.950652,30.63319074
685,104.0189197,30.67281507
686,104.0846885,30.65076332
687,104.1445578,30.63469503
688,104.0553991,30.56872554
689,104.1131027,30.61119346
690,103.9901669,30.71201697
691,104.0187006,30.69832771
692,104.0853733,30.69184839
693,103.9819807,30.64440871
694,104.0302157,30.62701444
695,104.1337947,30.6277929
696,104.1441848,30.66940351
697,104.0343852,30.60567934
698,104.10601,30.6219429
699,103.9775607,30.70377111
700,104.0088378,30.71389448
701,104.1090332,30.68661379
702,103.9943014,30.62444502
703,104.0559369,30.6356958
704,104.0909494,30.66142069
705,104.0435588,30.57197098
706,104.0991022,30.61345907
707,103.9929798,30.68390412
708,104.0125452,30.68328194
709,104.0877124,30.71150796
710,103.9869334,30.64626777
711,104.0085096,30.64330149
712,104.0810256,30.66585121
713,103.9997597,30.58962127
714,104.1328426,30.60870213
715,103.9950242,30.6798424
716,104.0570593,30.69273539
717,104.0839234,30.67841788
718,103.9845026,30.63716601
719,104.0385395,30.65909862
720,104.0808711,30.64973437
721,104.0577827,30.61849646
722,104.0747906,30.6144846
723,103.98599,30.68063674
724,104.022819,30.68524364
725,104.1018715,30.7188824
726,103.9919226,30.67483657
727,104.0503621,30.64027361
728,104.1164633,30.66075295
729,104.0280169,30.58735258
730,104.0775283,30.62293972
731,103.9313093,30.70607506
732,104.022412,30.67849209
733,104.0911229,30.71239601
734,103.9538128,30.63739103
735,104.0433938,30.66603272
736,104.0985074,30.64632943
737,104.0578933,30.59668669
738,104.0723172,30.57817949
739,103.9600779,30.70097319
740,104.0403035,30.69333808
741,104.129349,30.7231598
742,103.9625424,30.65991764
743,104.0194321,30.65955788
744,104.1058444,30.63216341
745,104.0661417,30.56811912
746,104.0862848,30.60562673
747,103.9978866,30.71380994
748,104.0643009,30.71280217
749,104.1054866,30.72778795
750,103.9670978,30.62927127
751,104.0641764,30.6318617
752,104.0858231,30.65025995
753,104.0009258,30.60599487
754,104.1074639,30.58994089
755,103.953125,30.69762633
756,104.0311269,30.68739702
757,104.0875661,30.68960162
758,103.9906239,30.63479511
759,104.0597426,30.66945889
760,104.0776053,30.62618671
761,104.0600781,30.61857201
762,104.1354405,30.60123549
763,103.9583001,30.68082983
764,104.028725,30.69153993
765,104.0718154,30.71217924
766,103.9975459,30.66579267
767,104.0122093,30.67825796
768,104.0821153,30.62726348
